side,entry,exit,pnl,pnl_pct,bars,reason
long,88393.8,88201.83642857143,-0.21716859262591798,-0.21716859262591592,3,sl
long,88438.97,88502.335,0.07163271927763688,0.07164827903356485,1,sl
long,89317.47,89274.9,-0.047654512088036685,-0.04766144853857179,2,forced
long,89748.93,89605.87285714287,-0.1593662516005032,-0.15939704557718093,5,sl
long,78622.0,78784.31,0.20637070607748498,0.2064434890997502,1,sl
long,78909.49,78844.19285714286,-0.08273732010374125,-0.08274941690429305,2,sl
long,69353.65,69514.11,0.2313119309151585,0.231364895719266,2,forced
long,70325.64,70034.40428571428,-0.4141255023837745,-0.41412451317289767,1,sl
long,70853.59,70423.865,-0.6062474271154488,-0.6064971443225264,3,sl
long,69272.01,69129.99,-0.20480916589089107,-0.20501787085431822,1,forced
long,69726.97,69671.86,-0.07894020327409934,-0.07903684901265917,5,forced
long,69673.6,69720.05357142857,0.06658634153096284,0.06667313218859938,3,sl
long,69717.65,69546.18785714285,-0.24563415700075097,-0.2459379265611239,1,sl
long,69124.74,68939.8607142857,-0.2670614311177575,-0.2674574771844296,2,sl
long,67453.71,66965.40142857142,-0.7226512593242083,-0.7239165517042512,1,sl
long,68490.45,68519.20928571429,0.04188647624289185,0.041990212816944705,7,sl
long,66973.2,66904.85571428572,-0.10179938282665948,-0.10204721547466544,1,sl
long,69124.96,68989.80214285714,-0.19503208790401932,-0.19552685042113493,2,sl
long,69221.59,68822.6,-0.5748243821700953,-0.5763953125029198,1,sl
long,68325.83,68188.52,-0.20030029758675882,-0.20096353019055657,1,forced
long,65665.04,65834.44,0.25707287240282417,0.2579759336170495,1,sl
long,66845.33,67294.34714285714,0.6695467878285652,0.67172552346908,4,sl
long,66626.57,67286.505,0.9879487480367068,0.9904982351635283,1,sl
long,66937.99,66650.24142857143,-0.4291915600104004,-0.4298733371416952,1,sl
long,66976.9,66682.91357142857,-0.438052509084304,-0.43893704929823807,2,sl
long,66282.0,66393.4,0.16765744715635167,0.16806976252978778,1,forced
long,68465.88,68435.0,-0.044999671701370605,-0.0451027577532126,6,forced
